outcome,outcome_label,scenario,exposure,exposure_label,restriction,n,beta,se,p_value,effect,effect_low,effect_high,q_value,effect_CI,p_value_fmt,q_value_fmt,direction
ln_HOMA_IR,ln(HOMA-IR),"Main model, creatinine-adjusted",ln_Sigma_DEHP,ln(Sigma DEHP),none,1983,0.1068164213737446,0.02557709879678462,2.615046586978223e-4,11.272996229018917,5.593233817358767,17.2582678090857,4.3584109782970383e-4,"11.273 (5.593, 17.258)",<0.001,<0.001,positive
ln_HOMA_IR,ln(HOMA-IR),"Main model, creatinine-adjusted",pct_oxidative_10,%Oxidative per 10 percentage points,none,1983,0.21298757487424316,0.04406192719632838,4.025346402188437e-5,23.736927667921503,13.073833739948926,35.40557317538915,2.0126732010942184e-4,"23.737 (13.074, 35.406)",<0.001,<0.001,positive
ln_HOMA_IR,ln(HOMA-IR),"Main model, creatinine-adjusted",ln_URXMHH,MEHHP,none,1983,0.1043888142898297,0.023766260872931835,1.4563866716909435e-4,11.003196731211196,5.728662209692037,16.54086438841236,3.6409666792273584e-4,"11.003 (5.729, 16.541)",<0.001,<0.001,positive
ln_HOMA_IR,ln(HOMA-IR),"Main model, creatinine-adjusted",ln_URXMOH,MEOHP,none,1983,0.08726243133145764,0.025228849354472005,0.0017542904031256834,9.118300275484348,3.62241445038618,14.9056747824736,0.0017542904031256834,"9.118 (3.622, 14.906)",0.002,0.002,positive
ln_HOMA_IR,ln(HOMA-IR),"Main model, creatinine-adjusted",ln_URXECP,MECPP,none,1983,0.09288947527299363,0.02505981179269044,9.171530780304624e-4,9.73404453122846,4.243234721242728,15.514072077502373,0.001146441347538078,"9.734 (4.243, 15.514)",<0.001,0.001,positive
ln_HOMA_IR,ln(HOMA-IR),Exclude urinary creatinine <30 or >300 mg/dL,ln_Sigma_DEHP,ln(Sigma DEHP),valid_creatinine,1818,0.10449447760625157,0.025660891231101726,3.4621171852584524e-4,11.014926316793794,5.330256150576562,17.006397929050255,3.4621171852584524e-4,"11.015 (5.330, 17.006)",<0.001,<0.001,positive
ln_HOMA_IR,ln(HOMA-IR),Exclude urinary creatinine <30 or >300 mg/dL,pct_oxidative_10,%Oxidative per 10 percentage points,valid_creatinine,1818,0.23221198670566567,0.05472347299485289,2.0585893311798816e-4,26.138709778342452,12.782378016768403,41.07677444236255,3.4621171852584524e-4,"26.139 (12.782, 41.077)",<0.001,<0.001,positive
ln_HOMA_IR,ln(HOMA-IR),"Creatinine-standardized exposure, no creatinine covariate",ln_cr_Sigma_DEHP,ln(creatinine-standardized Sigma DEHP),none,1983,0.0903218017871876,0.028197316035379547,0.003291375183303761,9.452644760564866,3.3190735299423846,15.950337491272393,0.0037952788626816857,"9.453 (3.319, 15.950)",0.003,0.004,positive
ln_HOMA_IR,ln(HOMA-IR),"Creatinine-standardized exposure, no creatinine covariate",ln_cr_URXMHH,creatinine-standardized MEHHP,none,1983,0.09876278664622778,0.02582782458384472,6.439667707689631e-4,10.38044313497226,4.701049342910513,16.367909425330286,0.0025758670830758525,"10.380 (4.701, 16.368)",<0.001,0.003,positive
ln_HOMA_IR,ln(HOMA-IR),"Creatinine-standardized exposure, no creatinine covariate",ln_cr_URXMOH,creatinine-standardized MEOHP,none,1983,0.08886594355240426,0.027261275111691186,0.002847061357047824,9.293413163811648,3.366462431022277,15.560210537017438,0.0037952788626816857,"9.293 (3.366, 15.560)",0.003,0.004,positive
ln_HOMA_IR,ln(HOMA-IR),"Creatinine-standardized exposure, no creatinine covariate",ln_cr_URXECP,creatinine-standardized MECPP,none,1983,0.08426511357375455,0.026773881323150915,0.0037952788626816857,8.791727721727138,2.994600429897165,14.915150612524531,0.0037952788626816857,"8.792 (2.995, 14.915)",0.004,0.004,positive
ln_HOMA_IR,ln(HOMA-IR),Exclude any DEHP component below LOD,ln_Sigma_DEHP,ln(Sigma DEHP),all_dehp_detected,1058,0.09510053323796569,0.0401908310796662,0.025124991542322388,9.97694129487412,1.285527548551646,19.414174061328104,0.025124991542322388,"9.977 (1.286, 19.414)",0.025,0.025,positive
ln_HOMA_IR,ln(HOMA-IR),Exclude oxidative components below LOD,pct_oxidative_10,%Oxidative per 10 percentage points,all_oxidative_detected,1966,0.23520828594191612,0.05081431801356495,7.109752946284981e-5,26.51722588869201,14.028854097151067,40.37331667766215,2.8439011785139925e-4,"26.517 (14.029, 40.373)",<0.001,<0.001,positive
ln_HOMA_IR,ln(HOMA-IR),Exclude oxidative components below LOD,ln_URXMHH,MEHHP,all_oxidative_detected,1966,0.10546604454480515,0.024362495678834365,1.7293694856138135e-4,11.122837161705302,5.713427661288106,16.80904887912147,3.458738971227627e-4,"11.123 (5.713, 16.809)",<0.001,<0.001,positive
ln_HOMA_IR,ln(HOMA-IR),Exclude oxidative components below LOD,ln_URXMOH,MEOHP,all_oxidative_detected,1966,0.08806048278696584,0.02642689924582679,0.0024313662428630967,9.205417051052933,3.45095334092107,15.279973051510032,0.0024313662428630967,"9.205 (3.451, 15.280)",0.002,0.002,positive
ln_HOMA_IR,ln(HOMA-IR),Exclude oxidative components below LOD,ln_URXECP,MECPP,all_oxidative_detected,1966,0.10000001501843563,0.024886945398002736,4.002166884040759e-4,10.517093467358606,5.024284494454911,16.297178383707568,5.336222512054345e-4,"10.517 (5.024, 16.297)",<0.001,<0.001,positive
ln_HOMA_IR,ln(HOMA-IR),"Winsorized exposure, 1st-99th percentile",ln_Sigma_DEHP_w,winsorized ln(Sigma DEHP),none,1983,0.11188175882489479,0.02709890170109958,2.973421230720084e-4,11.83806141886745,5.799136845800512,18.221682660418015,4.95570205120014e-4,"11.838 (5.799, 18.222)",<0.001,<0.001,positive
ln_HOMA_IR,ln(HOMA-IR),"Winsorized exposure, 1st-99th percentile",pct_oxidative_10_w,winsorized %Oxidative per 10 percentage points,none,1983,0.24386371170302787,0.045813757622959625,1.0339757512747098e-5,27.617039154749246,16.20248649341658,40.15284159644459,5.169878756373549e-5,"27.617 (16.202, 40.153)",<0.001,<0.001,positive
ln_HOMA_IR,ln(HOMA-IR),"Winsorized exposure, 1st-99th percentile",ln_URXMHH_w,winsorized MEHHP,none,1983,0.10808136470356244,0.02490745316535496,1.6817779467399432e-4,11.41383932387432,5.8720136018114655,17.24574956675515,4.204444866849858e-4,"11.414 (5.872, 17.246)",<0.001,<0.001,positive
